# Created at 2018/3/14
#Lowest level starting ID, hostnumber, bandwidth
22,3,100
# NodeID, x_pos, y_pos, degree
0,12129,3110,82
1,7249,1856,74
2,-7356,4040,18
3,-12225,3747,33
4,-4314,-2254,29
5,10648,-610,21
6,13942,3542,55
7,3735,5545,75
8,723,904,37
9,-9904,1926,3
10,9039,2370,72
11,1325,5230,78
12,12100,1437,55
13,10551,2102,78
14,-7,5130,25
15,221,4851,37
16,10377,1505,69
17,5126,3540,74
18,2858,4101,81
19,1220,4180,83
20,3114,3003,100
21,1180,4156,56
22,9033,2426,76
23,2999,4173,76
24,-12242,3756,9
25,5496,3638,74
26,12175,3107,60
27,10415,1609,92
28,10584,2150,60
29,12708,3038,67
30,12048,3127,71
31,1319,5054,65
32,11575,1947,74
33,5608,2651,77
34,10649,-630,72
35,9041,2369,79
36,-24,5128,60
37,11976,3400,76
38,10553,2055,81
39,11701,-1843,49
40,12137,3162,76
41,-12161,3775,17
42,3269,5256,77
43,7970,1764,88
44,3213,2950,67
45,12097,1415,85
46,1518,4481,79
47,12103,3113,77
48,5204,3543,88
49,4208,1561,82
50,10464,1941,80
51,3098,3018,80
52,2853,4103,86
53,5272,3438,90
54,10791,2740,85
55,1299,5231,86
56,10567,-460,84
57,-12240,3742,31
58,568,910,82
59,9025,2360,90
60,3114,3476,94
61,4808,4379,92
62,1304,5254,90
63,12291,2016,81
64,2859,4108,88
65,2856,4079,92
66,-34,5110,89
67,-5726,-1752,36
68,2881,4107,91
69,1409,5199,88
70,3167,3040,99
71,8959,2263,98
72,-76,5156,80
73,12123,3121,96
74,3748,5545,94
75,187,4657,94
76,10483,1784,101
77,10670,1626,101
78,12126,3098,94
79,422,4924,93
80,10330,1431,102
81,9505,1674,98
82,1105,4183,94
83,10371,1507,98
84,2685,4032,99
85,3354,3890,102
86,4813,2816,102
87,59,5381,91
88,1238,4207,100
89,5605,5066,104
90,7412,2112,105
91,12135,3100,104
92,5480,3587,107
93,5111,5042,108
94,3674,5594,107
95,10563,2031,107
96,2873,4092,105
97,10204,2305,106
98,10785,1511,104
99,3735,5534,108
100,10645,-612,104
101,10044,257,107
102,2999,4049,110
103,13902,3552,98
104,4620,4463,108
105,11041,-1012,104
106,-9816,4404,85
107,10476,1669,106
108,10744,-584,106
109,11048,2578,106
110,5041,3040,106
111,-4543,-2357,95
112,802,1391,108
113,10553,1575,108
114,12151,1415,110
115,10640,-615,110
116,11606,-397,109
117,11370,-47,106
118,10657,-618,105
119,-11651,4104,103
120,7215,1933,111
# links
0,1
0,2
1,3
0,4
1,4
2,5
4,6
3,7
0,7
6,8
4,8
1,9
2,10
0,10
4,10
3,11
4,11
4,12
0,12
1,12
3,12
2,13
7,13
8,13
6,14
6,15
0,15
2,16
4,16
3,17
0,17
4,17
7,17
8,17
13,17
3,18
2,18
4,18
6,18
8,18
3,19
0,19
1,19
2,19
4,19
6,19
7,19
8,19
11,19
17,19
3,20
0,20
1,20
2,20
4,20
6,20
7,20
8,20
9,20
10,20
11,20
12,20
13,20
16,20
17,20
18,20
0,1
0,5
0,6
0,7
0,8
0,9
0,11
0,14
0,16
0,17
0,18
0,19
0,22
0,24
0,25
0,26
0,27
0,29
0,30
0,31
0,33
0,35
0,38
0,39
0,40
0,42
0,43
0,44
0,45
0,49
0,50
0,52
0,54
0,55
0,56
0,57
0,58
0,59
0,60
0,62
0,64
0,68
0,69
0,70
0,71
0,72
0,73
0,74
0,76
0,77
0,78
0,79
0,80
0,81
0,82
0,83
0,84
0,85
0,86
0,87
0,88
0,89
0,90
0,91
0,92
0,93
0,94
0,95
0,96
0,97
0,98
0,99
1,1
1,2
1,6
1,8
1,12
1,14
1,17
1,22
1,24
1,27
1,30
1,32
1,33
1,35
1,38
1,40
1,41
1,42
1,48
1,49
1,50
1,52
1,53
1,54
1,55
1,56
1,57
1,58
1,59
1,60
1,62
1,63
1,64
1,65
1,66
1,67
1,68
1,69
1,70
1,71
1,72
1,73
1,74
1,75
1,76
1,77
1,78
1,79
1,80
1,81
1,82
1,83
1,84
1,86
1,87
1,88
1,89
1,90
1,91
1,92
1,93
1,94
1,95
1,96
1,97
1,98
1,99
2,3
2,8
2,32
2,38
2,65
2,66
2,67
2,78
2,85
2,98
3,0
3,3
3,6
3,8
3,20
3,21
3,35
3,36
3,41
3,45
3,46
3,48
3,49
3,51
3,56
3,59
3,61
3,73
3,76
3,81
3,85
3,92
3,93
3,98
3,99
4,5
4,8
4,9
4,10
4,17
4,36
4,41
4,46
4,52
4,55
4,58
4,66
4,75
4,90
4,91
4,92
4,99
5,13
5,18
5,33
5,35
5,37
5,52
5,73
5,75
5,79
5,80
5,84
5,87
5,88
5,92
5,93
5,94
5,95
5,96
5,97
5,99
6,8
6,9
6,10
6,11
6,13
6,16
6,19
6,20
6,22
6,24
6,26
6,29
6,40
6,42
6,47
6,50
6,52
6,55
6,56
6,57
6,59
6,60
6,65
6,66
6,69
6,70
6,71
6,74
6,76
6,77
6,79
6,80
6,81
6,82
6,83
6,84
6,86
6,87
6,88
6,91
6,92
6,93
6,94
6,95
6,96
6,97
6,98
6,99
7,2
7,4
7,9
7,18
7,21
7,22
7,24
7,25
7,26
7,27
7,30
7,31
7,32
7,34
7,38
7,39
7,40
7,41
7,43
7,44
7,45
7,47
7,48
7,49
7,51
7,52
7,53
7,54
7,55
7,57
7,58
7,59
7,60
7,61
7,62
7,63
7,64
7,65
7,66
7,67
7,68
7,69
7,70
7,71
7,72
7,73
7,74
7,75
7,76
7,77
7,78
7,80
7,81
7,82
7,83
7,84
7,86
7,88
7,89
7,90
7,91
7,92
7,93
7,94
7,95
7,96
7,97
7,98
7,99
8,24
8,30
8,35
8,37
8,39
8,45
8,49
8,54
8,55
8,61
8,63
8,64
8,67
8,68
8,71
8,74
8,75
8,78
8,79
8,80
8,81
8,85
8,86
8,89
8,91
8,93
8,94
8,95
8,96
8,98
9,85
10,1
10,5
10,6
10,7
10,8
10,14
10,15
10,16
10,17
10,19
10,22
10,23
10,29
10,32
10,33
10,34
10,37
10,38
10,39
10,42
10,44
10,49
10,50
10,52
10,53
10,54
10,55
10,56
10,57
10,59
10,60
10,61
10,62
10,63
10,64
10,65
10,67
10,68
10,69
10,70
10,71
10,72
10,73
10,74
10,75
10,76
10,77
10,78
10,79
10,80
10,81
10,82
10,83
10,84
10,86
10,87
10,88
10,89
10,90
10,91
10,92
10,93
10,94
10,95
10,96
10,97
10,98
10,99
11,2
11,10
11,11
11,12
11,15
11,18
11,19
11,21
11,23
11,25
11,28
11,30
11,31
11,33
11,34
11,36
11,37
11,38
11,39
11,40
11,41
11,43
11,44
11,45
11,47
11,48
11,49
11,50
11,51
11,52
11,53
11,54
11,58
11,59
11,60
11,61
11,62
11,63
11,64
11,65
11,66
11,67
11,68
11,69
11,70
11,71
11,72
11,73
11,74
11,75
11,76
11,77
11,78
11,79
11,80
11,81
11,82
11,83
11,84
11,85
11,86
11,87
11,88
11,89
11,90
11,91
11,92
11,93
11,94
11,95
11,96
11,97
11,98
11,99
12,9
12,11
12,18
12,19
12,24
12,26
12,29
12,33
12,35
12,36
12,42
12,43
12,44
12,45
12,50
12,52
12,54
12,55
12,56
12,57
12,59
12,60
12,62
12,67
12,68
12,70
12,71
12,72
12,74
12,76
12,77
12,78
12,79
12,80
12,82
12,83
12,84
12,85
12,86
12,87
12,88
12,90
12,91
12,92
12,93
12,94
12,95
12,96
12,97
12,99
13,6
13,7
13,11
13,13
13,14
13,15
13,16
13,17
13,19
13,22
13,24
13,26
13,27
13,28
13,29
13,31
13,32
13,33
13,34
13,35
13,37
13,38
13,39
13,40
13,42
13,44
13,45
13,49
13,50
13,52
13,53
13,55
13,56
13,57
13,58
13,59
13,60
13,62
13,64
13,65
13,66
13,67
13,68
13,69
13,70
13,71
13,72
13,73
13,74
13,75
13,76
13,77
13,78
13,79
13,80
13,81
13,82
13,83
13,84
13,86
13,87
13,88
13,89
13,90
13,91
13,92
13,93
13,94
13,95
13,96
13,97
13,98
13,99
14,4
14,15
14,34
14,40
14,45
14,51
14,54
14,55
14,57
14,58
14,61
14,63
14,64
14,66
14,67
14,68
14,71
14,72
14,73
14,78
14,87
14,88
14,91
14,93
15,6
15,15
15,34
15,37
15,40
15,41
15,45
15,48
15,51
15,52
15,54
15,58
15,59
15,61
15,63
15,64
15,66
15,67
15,69
15,71
15,72
15,73
15,74
15,75
15,78
15,79
15,80
15,81
15,83
15,86
15,89
15,90
15,91
15,94
15,99
16,6
16,7
16,9
16,11
16,13
16,14
16,16
16,17
16,19
16,22
16,24
16,26
16,28
16,29
16,32
16,33
16,35
16,36
16,38
16,40
16,42
16,44
16,48
16,50
16,52
16,54
16,55
16,56
16,57
16,58
16,59
16,60
16,62
16,65
16,68
16,69
16,70
16,71
16,72
16,73
16,74
16,75
16,76
16,77
16,78
16,79
16,80
16,81
16,82
16,83
16,84
16,85
16,86
16,87
16,88
16,89
16,90
16,91
16,92
16,93
16,94
16,95
16,96
16,97
16,98
16,99
17,4
17,12
17,13
17,22
17,23
17,27
17,28
17,30
17,31
17,32
17,34
17,35
17,37
17,38
17,39
17,40
17,41
17,43
17,44
17,47
17,48
17,49
17,50
17,52
17,53
17,55
17,56
17,58
17,59
17,60
17,61
17,62
17,63
17,64
17,65
17,66
17,67
17,68
17,69
17,70
17,71
17,72
17,73
17,74
17,75
17,76
17,77
17,78
17,79
17,80
17,81
17,83
17,84
17,86
17,87
17,88
17,89
17,91
17,92
17,93
17,94
17,95
17,96
17,97
17,98
17,99
18,0
18,1
18,2
18,10
18,12
18,15
18,16
18,17
18,18
18,21
18,23
18,25
18,27
18,30
18,31
18,32
18,34
18,35
18,37
18,38
18,39
18,40
18,41
18,43
18,44
18,45
18,46
18,47
18,48
18,49
18,51
18,52
18,53
18,54
18,55
18,56
18,57
18,58
18,61
18,62
18,63
18,64
18,65
18,66
18,67
18,68
18,69
18,70
18,71
18,72
18,73
18,74
18,75
18,76
18,77
18,78
18,79
18,80
18,81
18,82
18,83
18,84
18,86
18,87
18,88
18,89
18,90
18,91
18,92
18,93
18,94
18,95
18,96
18,97
18,99
19,0
19,2
19,4
19,6
19,10
19,15
19,18
19,21
19,22
19,23
19,25
19,27
19,29
19,30
19,31
19,32
19,33
19,34
19,36
19,37
19,39
19,40
19,41
19,43
19,44
19,45
19,47
19,48
19,49
19,51
19,53
19,54
19,56
19,57
19,58
19,59
19,60
19,61
19,62
19,63
19,64
19,65
19,66
19,67
19,68
19,69
19,70
19,71
19,72
19,73
19,74
19,75
19,76
19,77
19,78
19,80
19,81
19,82
19,83
19,84
19,85
19,86
19,87
19,89
19,90
19,91
19,92
19,93
19,94
19,96
19,97
19,98
19,99
20,0
20,1
20,2
20,4
20,9
20,10
20,12
20,13
20,14
20,16
20,21
20,22
20,23
20,24
20,25
20,27
20,28
20,29
20,30
20,31
20,32
20,34
20,37
20,38
20,39
20,40
20,41
20,42
20,43
20,44
20,45
20,46
20,47
20,48
20,49
20,50
20,51
20,53
20,54
20,55
20,56
20,57
20,58
20,59
20,60
20,61
20,62
20,63
20,64
20,65
20,66
20,67
20,68
20,69
20,70
20,71
20,72
20,73
20,74
20,75
20,76
20,77
20,78
20,79
20,80
20,81
20,82
