# Created at 2018-03-14 14:36:28
# Lowest level starting ID, hostnumber, bandwidth
21,3,100
# NodeID, x_pos, y_pos, degree
0,12129,3110,20
1,7249,1856,20
2,-7356,4040,7
3,-12225,3747,16
4,-4314,-2254,9
5,10648,-610,3
6,13942,3542,16
7,3735,5545,8
8,723,904,10
9,-9904,1926,4
10,9039,2370,12
11,1325,5230,4
12,12100,1437,11
13,10551,2102,16
14,-7,5130,14
15,221,4851,16
16,10377,1505,5
17,5126,3540,10
18,2858,4101,14
19,1220,4180,6
20,3114,3003,10
21,3726,5550,9
22,1272,5191,6
23,10407,655,1
24,2877,3331,10
25,-12162,3866,4
26,12113,1437,15
27,7248,1867,22
28,14253,3704,2
29,9721,-971,11
30,2491,4513,3
31,-12227,3773,2
32,12106,1447,7
33,2913,4171,7
34,14380,3609,2
35,10220,2358,5
36,75,3946,3
37,11849,1200,4
38,12134,3131,9
39,-12256,3562,1
40,5,5120,24
41,2858,4094,8
42,10507,2058,8
43,-11755,3199,4
44,2682,4131,9
45,7278,2104,17
46,-6,5139,20
47,-6174,606,1
48,14022,3706,2
49,11,5094,21
50,668,1197,3
51,3100,3007,7
52,708,936,4
53,10372,1509,17
54,316,5034,28
55,10569,-291,3
56,1347,4327,3
57,151,5271,18
58,653,856,5
59,9046,2372,11
60,10475,1446,4
61,10778,1732,14
62,7131,1874,12
63,7227,1896,7
64,4483,3044,4
65,6861,2037,17
66,-12113,3795,4
67,12129,3118,7
68,-26,5129,18
69,1298,4017,4
70,5087,3531,9
71,12963,1329,6
72,3885,5368,5
73,5129,3520,16
74,13967,3534,6
75,7241,1841,16
76,10537,2106,17
77,12294,2794,6
78,8219,3030,7
79,10680,-505,8
80,-108,5530,16
81,14074,3498,8
82,-111,5153,23
83,1411,4931,15
84,8829,2438,13
85,455,507,5
86,-8,5075,18
87,-11784,4202,2
88,3731,5560,7
89,129,5171,27
90,3024,4207,17
91,7404,2918,13
92,167,4793,21
93,3140,3034,18
94,12067,1451,13
