# Created at 2018-03-14 16:54:17
# Connection parameters. Layer11:75 Layer12: 50 Layer22: 50
# Connection Num. Layer11: 27 Layer12: 228 Layer22: 562
# Lowest level starting ID, hostnumber, bandwidth
21,3,100
# NodeID, x_pos, y_pos, degree
0,12129,3110,6
1,7249,1856,17
2,-7356,4040,8
3,-12225,3747,17
4,-4314,-2254,7
5,10648,-610,9
6,13942,3542,12
7,3735,5545,9
8,723,904,4
9,-9904,1926,3
10,9039,2370,10
11,1325,5230,28
12,12100,1437,19
13,10551,2102,5
14,-7,5130,23
15,221,4851,19
16,10377,1505,21
17,5126,3540,19
18,2858,4101,6
19,1220,4180,13
20,3114,3003,27
21,1221,4170,12
22,3749,5506,8
23,7249,1866,17
24,11999,1374,3
25,741,816,8
26,1218,4195,18
27,3168,4252,6
28,2950,2561,5
29,276,5139,14
30,10205,1305,10
31,5126,3547,6
32,10646,-602,4
33,1214,4189,9
34,12110,1378,6
35,10546,2113,23
36,210,5016,13
37,-12227,3738,8
38,10637,-626,12
39,7183,1851,14
40,-12299,3654,4
41,-4336,-2246,2
42,-12501,4409,8
43,1426,5205,8
44,9092,2395,11
45,7238,1842,9
46,808,1155,1
47,5119,3529,10
48,7429,3597,17
49,15,5042,11
50,3748,5529,9
51,9530,68,7
52,3116,3007,7
53,9587,1508,8
54,7284,1949,19
55,4885,3365,8
56,-11328,4225,2
57,3087,2993,12
58,12128,3102,5
59,13654,83,2
60,10414,1520,11
61,277,852,5
62,1952,4802,18
63,12157,4259,3
64,10278,1702,21
65,714,921,11
66,10361,1383,18
67,321,5023,18
68,1527,5328,13
69,5131,3547,14
70,1786,4243,19
71,694,863,11
72,5856,2317,10
73,10122,2946,5
74,1553,4459,20
75,12238,-1755,5
76,10381,1538,18
77,3143,3033,22
78,12099,1449,19
79,12125,1443,12
80,3711,5418,12
81,1319,5236,22
82,11797,-756,3
83,187,4885,17
84,1281,4212,24
85,10653,-602,19
86,10205,2548,16
87,9063,2375,14
88,13894,3516,9
89,217,4867,30
90,2866,4112,12
91,9971,1932,22
92,10678,1481,21
93,10606,1517,17
94,316,4971,27
95,-12088,3787,6
96,7946,2522,9
97,245,4879,22
98,1424,4053,27
99,13935,3532,9
100,4543,2576,12
101,-1071,3967,12
102,3024,3059,20
103,4673,4123,16
104,7818,1752,24
105,10314,1490,26
106,13765,3616,11
107,1345,5235,33
108,7255,1850,33
109,-12289,3825,10
110,7261,1878,19
111,1028,5172,26
112,12172,3166,15
113,-131,5320,26
114,732,896,19
115,3109,4254,25
116,13904,3530,9
117,-9830,3655,8
118,-738,2552,11
119,10555,2075,24
120,-4361,-2262,6
# links
0,1
0,2
1,3
0,4
2,5
4,6
3,7
6,8
1,9
2,10
3,11
4,12
9,12
2,13
6,14
6,15
2,16
7,16
3,17
3,18
3,19
3,20
4,20
5,20
10,20
14,20
15,20
0,2
0,37
0,91
1,2
1,18
1,24
1,33
1,34
1,55
1,57
1,70
1,75
1,79
1,83
1,84
1,87
1,89
2,14
2,35
2,68
3,16
3,19
3,21
3,41
3,56
3,74
3,87
3,88
3,92
3,99
4,20
4,50
4,99
5,11
5,17
5,32
5,55
5,64
5,80
5,98
6,4
6,59
6,67
6,70
6,72
6,78
6,85
6,95
7,1
7,21
7,29
7,59
7,60
7,84
7,94
8,44
8,50
8,93
9,52
10,23
10,43
10,66
10,67
10,71
10,83
10,85
10,91
11,1
11,22
11,27
11,28
11,34
11,40
11,41
11,47
11,51
11,53
11,60
11,62
11,63
11,68
11,69
11,73
11,76
11,77
11,81
11,83
11,86
11,87
11,89
11,90
11,91
11,92
11,97
12,3
12,13
12,26
12,31
12,37
12,40
12,51
12,52
12,54
12,57
12,58
12,66
12,75
12,84
12,88
12,96
12,98
13,14
13,70
13,71
13,98
14,15
14,21
14,28
14,39
14,42
14,46
14,47
14,49
14,60
14,62
14,68
14,73
14,76
14,77
14,80
14,81
14,82
14,86
14,87
14,90
14,92
15,8
15,46
15,49
15,50
15,62
15,68
15,69
15,73
15,76
15,80
15,81
15,82
15,86
15,89
15,92
15,93
15,95
16,9
16,32
16,39
16,43
16,45
16,55
16,59
16,61
16,64
16,65
16,68
16,70
16,71
16,72
16,75
16,84
16,87
16,88
16,98
17,10
17,26
17,27
17,32
17,34
17,48
17,49
17,51
17,53
17,58
17,59
17,65
17,66
17,68
17,82
17,87
17,89
17,94
18,6
18,57
18,69
18,87
18,94
19,0
19,5
19,12
19,41
19,63
19,69
19,73
19,77
19,85
19,86
19,97
19,99
20,4
20,7
20,9
20,14
20,23
20,31
20,36
20,37
20,47
20,56
20,57
20,62
20,67
20,68
20,69
20,72
20,79
20,81
20,85
20,93
20,94
5,0
12,0
12,5
13,3
14,2
15,8
17,8
17,11
18,2
19,16
21,5
21,16
23,8
23,14
24,2
24,18
25,2
26,10
27,14
27,15
27,23
29,1
30,16
30,17
31,5
33,2
33,18
33,24
33,27
34,26
35,19
36,23
36,31
37,27
38,2
40,4
41,6
41,8
41,33
42,14
42,17
43,9
43,12
43,14
43,24
43,39
44,4
44,26
44,40
45,9
45,14
45,27
45,39
45,43
46,0
46,4
46,8
46,15
47,5
47,22
47,41
48,7
48,10
48,18
48,26
48,27
48,34
48,36
48,44
49,4
49,5
49,29
49,46
50,4
50,5
50,44
50,48
51,2
51,26
51,45
52,39
52,41
53,0
53,5
53,22
53,29
53,41
53,49
54,2
54,30
55,9
55,14
55,17
55,39
55,43
55,44
55,45
56,2
56,27
56,31
56,33
56,34
56,36
56,40
56,43
57,13
57,17
57,26
57,27
57,45
57,47
57,48
58,2
58,3
58,11
58,13
58,14
58,43
59,1
59,29
59,33
59,53
60,5
60,12
60,22
60,41
60,46
60,47
60,49
60,53
61,16
61,43
62,7
62,8
62,15
62,28
62,44
62,46
63,0
63,5
63,12
63,15
63,27
63,36
63,41
63,43
63,49
63,50
63,53
63,56
63,60
64,11
64,14
64,17
64,28
64,33
64,38
64,41
64,45
64,56
64,57
65,13
65,14
65,36
65,43
65,45
65,55
65,57
66,5
66,23
66,24
66,31
66,33
66,43
66,64
67,34
67,64
68,5
68,8
68,15
68,28
68,41
68,46
68,47
68,56
68,60
68,62
69,0
69,33
69,48
69,56
69,59
70,14
70,18
70,23
70,32
70,43
70,45
70,55
70,57
70,65
71,9
71,14
71,23
71,27
71,30
71,39
71,43
71,45
71,54
71,55
71,57
71,58
71,66
72,9
72,14
72,29
72,33
72,39
72,41
72,43
72,45
72,55
72,70
73,0
73,1
73,8
73,15
73,28
73,46
73,49
73,50
73,53
73,58
73,60
73,62
73,63
73,68
74,16
74,45
74,50
74,65
75,17
75,23
75,30
75,33
75,71
76,6
76,8
76,15
76,22
76,28
76,32
76,41
76,46
76,53
76,56
76,60
76,62
76,63
76,68
76,73
77,0
77,5
77,8
77,9
77,12
77,18
77,30
77,47
77,49
77,53
77,56
77,59
77,60
77,63
77,65
77,68
77,73
78,36
78,46
78,63
78,67
78,71
79,6
79,10
79,14
79,18
79,36
79,46
79,68
80,15
80,22
80,36
80,49
80,56
80,62
80,68
81,1
81,7
81,18
81,23
81,27
81,31
81,34
81,36
81,49
81,56
81,59
81,68
82,1
82,5
82,26
82,27
82,28
82,29
82,48
82,53
82,56
82,60
82,70
83,2
83,14
83,16
83,17
83,24
83,33
83,36
83,41
83,52
83,55
83,57
83,66
83,70
83,73
83,79
84,2
84,9
84,14
84,17
84,18
84,29
84,32
84,39
84,43
84,45
84,46
84,55
84,56
84,65
84,70
84,71
84,72
84,79
84,82
85,14
85,67
85,70
85,73
85,78
86,0
86,5
86,8
86,15
86,22
86,28
86,29
86,33
86,41
86,47
86,49
86,51
86,53
86,56
86,59
86,60
86,62
86,63
86,64
86,68
86,73
86,76
86,77
86,79
86,83
87,2
87,6
87,10
87,13
87,18
87,24
87,27
87,33
87,45
87,48
87,54
87,58
87,64
87,65
87,68
87,70
87,72
87,77
87,78
87,82
87,83
87,84
88,16
88,19
88,21
88,33
88,51
88,74
89,2
89,14
89,18
89,24
89,33
89,49
89,57
89,72
89,75
89,81
89,83
89,86
89,87
90,0
90,1
90,5
90,7
90,8
90,12
90,22
90,41
90,46
90,47
90,53
90,60
90,62
90,63
90,68
90,70
90,73
90,76
90,77
90,81
90,85
90,86
91,30
91,37
91,43
91,49
91,57
91,65
91,66
91,67
91,68
91,71
91,77
92,5
92,8
92,12
92,15
92,21
92,28
92,44
92,46
92,49
92,53
92,55
92,60
92,62
92,63
92,68
92,73
92,76
92,77
92,80
92,83
92,86
92,90
93,4
93,10
93,18
93,26
93,28
93,33
93,44
93,50
93,51
93,70
93,76
93,77
93,80
93,87
93,89
93,91
94,0
94,6
94,15
94,32
94,39
94,49
94,53
94,56
94,60
94,63
94,66
94,68
94,69
94,77
94,81
94,86
94,87
94,89
94,90
95,32
95,57
95,67
95,78
95,83
95,84
95,85
96,14
96,17
96,21
96,46
96,64
96,73
96,88
97,44
97,47
97,53
97,60
97,63
97,64
97,68
97,73
97,94
98,2
98,9
98,14
98,18
98,27
98,39
98,43
98,45
98,51
98,55
98,58
98,64
98,65
