# parameters
# Lowest level starting ID, hostnumber,bandwidth
21,3,100
# NodeID,x_pos,y_pos,degree
0,12991,16902,13
1,10159,6939,2
2,22600,9255,6
3,8908,5064,8
4,13295,17748,12
5,23572,2305,4
6,30964,379,8
7,29623,11304,1
8,20097,7594,3
9,34431,623,12
10,16291,6340,3
11,33310,6331,5
12,12883,16292,1
13,19205,8642,4
14,23343,17980,9
15,17313,5066,6
16,15660,3143,3
17,18129,2784,11
18,5587,13675,3
19,33033,4197,4
20,34228,11627,3
21,24774,10544,4
22,24920,5166,3
23,29985,931,3
24,4146,10273,2
25,34002,12651,2
26,2481,14888,6
27,6176,10303,6
28,7308,12912,2
29,22942,6048,7
30,31765,6457,3
31,32591,1227,1
32,12668,9220,9
33,1701,14444,11
34,22467,12362,7
35,22191,12444,14
36,11615,9452,1
37,22478,725,3
38,13641,16387,7
39,13994,17753,4
40,21373,7356,18
41,31722,10177,5
42,22189,10170,6
43,29719,9422,10
44,28047,7311,3
45,18236,15947,6
46,5163,2969,3
47,4697,5493,4
48,5284,10931,1
49,14628,2558,2
50,4606,15472,3
51,28270,13721,5
52,26339,16730,3
53,15637,15381,2
54,30654,8053,6
55,654,2223,3
56,6117,8519,4
57,1117,17002,5
58,31900,1966,2
59,22004,10061,21
60,3965,16699,12
61,35681,1278,10
62,29674,16074,8
63,13320,4553,2
64,11587,7255,3
65,20780,7535,8
66,18959,5126,5
67,14644,12472,9
68,32649,15480,6
69,28308,6194,9
70,11310,13818,8
71,16171,8979,5
72,21875,8373,10
73,29152,631,5
74,4019,10664,3
75,21835,10143,21
76,21476,11470,13
77,14711,7289,8
78,18773,8231,18
79,8555,8921,9
80,25831,1427,6
81,17285,11695,7
82,32112,15737,3
83,2686,725,5
84,3845,3226,5
85,16863,17751,7
86,19375,11153,12
87,28297,8828,10
88,9780,17424,9
89,11918,12672,15
90,9574,9566,14
91,29031,10506,6
92,34762,2669,6
93,3937,6327,9
94,525,13623,10
95,13133,10452,8
96,29734,14562,22
97,31874,10397,14
98,20030,1761,16
99,6406,13021,5
100,23197,1055,11
101,20063,16490,24
102,9579,8528,17
103,9937,12224,12
104,19912,13629,25
105,26708,7963,28
106,22773,11230,29
107,31617,9524,25
108,22107,14025,48
109,32005,11932,20
110,26419,17833,10
111,7100,5972,14
112,22976,4387,22
113,31974,12090,29
114,12730,16061,20
115,24695,10596,26
116,34698,7304,17
117,25748,17806,13
118,1428,15601,15
119,15338,16683,27
120,13273,15218,47
# links
0,1
0,2
0,3
2,4
0,5
4,6
3,7
6,8
4,9
0,9
6,10
0,10
3,11
4,11
8,11
9,12
9,13
11,13
9,14
1,14
8,14
9,15
0,15
4,15
9,16
4,16
9,17
2,17
3,17
4,17
6,17
11,17
13,17
9,18
3,19
18,20
4,20
0,17
0,44
0,62
0,67
0,93
0,97
2,21
2,38
2,48
3,11
3,45
3,63
4,12
4,50
4,80
4,92
5,8
5,40
5,72
6,33
6,76
6,89
6,99
9,22
9,46
9,92
10,57
13,93
14,12
14,14
14,38
14,44
14,87
14,98
15,5
15,45
15,57
16,98
17,11
17,39
17,77
17,99
18,36
19,13
19,76
19,93
20,57
5,12
5,39
8,19
8,47
8,51
8,54
8,58
8,94
11,68
11,86
11,90
12,5
12,39
12,72
12,73
12,74
13,80
13,84
14,12
14,25
14,56
14,65
14,75
14,87
14,88
14,90
17,18
17,83
17,93
19,43
19,44
19,51
19,62
19,87
19,89
19,91
19,92
19,95
19,96
19,99
22,19
22,20
22,76
22,86
22,87
22,92
22,94
25,90
33,83
33,84
36,73
36,97
38,0
38,21
38,22
38,47
38,51
38,54
38,55
38,57
38,59
38,80
38,85
38,86
38,91
38,94
38,98
39,6
39,12
39,36
39,81
39,85
39,97
40,6
40,7
40,45
40,53
40,54
40,71
40,82
44,11
44,19
44,34
44,66
44,91
47,63
48,84
50,60
54,21
54,24
54,38
54,51
54,52
54,57
54,74
54,83
54,85
54,87
54,96
55,14
55,54
55,65
55,71
55,83
56,43
56,50
56,65
56,89
56,94
57,11
57,46
57,51
57,55
57,69
57,75
57,77
57,81
57,85
57,87
57,93
57,94
58,69
58,81
58,86
58,88
59,48
59,75
59,90
60,45
60,68
60,76
63,69
65,14
65,37
65,46
65,54
65,68
65,91
66,4
66,30
66,39
66,75
66,88
67,55
68,3
68,15
68,35
68,64
68,67
68,83
68,92
68,93
68,98
69,32
69,42
69,46
69,62
69,73
69,78
69,81
69,87
71,48
71,52
72,45
73,49
73,90
73,97
74,50
74,99
75,31
75,41
75,56
75,61
75,70
75,72
75,77
75,79
75,87
75,91
75,95
75,99
76,20
76,49
76,86
76,92
76,95
77,18
77,19
77,24
77,42
77,50
77,69
77,72
77,78
77,79
77,85
78,5
79,12
79,16
79,46
79,91
79,99
80,22
80,24
80,32
80,35
80,41
80,47
80,48
80,53
80,79
80,83
80,91
80,95
80,99
81,11
81,26
81,35
81,43
81,46
81,58
81,67
81,69
81,73
81,74
81,82
81,89
82,6
82,60
82,72
82,97
83,10
83,13
83,19
83,41
83,46
83,54
83,64
83,65
83,73
83,84
83,86
83,87
83,96
83,98
84,3
84,9
84,19
84,20
84,29
84,30
84,38
84,48
84,66
84,75
84,78
84,79
84,80
84,82
84,83
84,88
84,93
84,95
84,96
84,98
85,6
85,13
85,21
85,38
85,41
85,52
85,54
85,55
85,60
85,62
85,64
85,70
85,74
85,75
85,80
85,82
85,83
85,87
85,93
85,94
86,2
86,14
86,20
86,23
86,33
86,41
86,64
86,66
86,72
86,76
86,80
86,84
86,90
86,92
86,95
87,0
87,1
87,13
87,14
87,16
87,17
87,19
87,24
87,28
87,30
87,31
87,37
87,38
87,41
87,51
87,55
87,59
87,61
87,65
87,66
87,67
87,68
87,76
87,80
87,82
87,83
87,85
87,86
87,88
87,91
87,94
87,96
87,97
87,98
87,99
88,0
88,7
88,20
88,28
88,33
88,35
88,49
88,51
88,56
88,70
88,75
88,76
88,86
88,92
89,30
89,75
89,92
89,96
90,11
90,25
90,26
90,40
90,48
90,58
90,67
90,72
91,1
91,9
91,16
91,23
91,26
91,34
91,41
