# Created at 2018-03-19 20:49:20
# Connection parameters. Layer11:750 Layer12: 70 Layer22: 2500
# Connection Num. Layer11: 20 Layer12: 53 Layer22: 349
# Lowest level starting ID, total switch number, bandwidth
21,106,100
# NodeID, x_pos, y_pos, degree
0,12129,3110,7
1,7249,1856,8
2,-7356,4040,5
3,-12225,3747,10
4,-4314,-2254,6
5,10648,-610,3
6,13942,3542,7
7,3735,5545,1
8,723,904,5
9,-9904,1926,1
10,9039,2370,2
11,1325,5230,2
12,12100,1437,3
13,10551,2102,7
14,-7,5130,2
15,221,4851,5
16,10377,1505,3
17,5126,3540,6
18,2858,4101,2
19,1220,4180,6
20,3114,3003,2
21,10638,-631,3
22,10551,2093,13
23,7261,1861,8
24,209,4847,10
25,5121,3536,10
26,-12223,3735,4
27,918,4991,12
28,-12256,3583,3
29,9055,2378,2
30,218,4858,10
31,1215,4172,16
32,10730,-660,4
33,-4329,-2231,5
34,10554,2099,8
35,13935,3535,4
36,1315,5251,9
37,1227,4177,13
38,-12217,3742,4
39,4944,3741,6
40,10499,2027,9
41,12097,1432,8
42,709,890,8
43,13230,-2533,1
44,10368,1488,9
45,1214,4206,10
46,2835,3778,5
47,-4489,-1962,1
48,2979,1196,2
49,2865,4095,9
50,10328,1500,9
51,12117,3137,6
52,1578,5602,5
53,12130,3116,11
54,-4407,-2251,2
55,12306,1592,6
56,1085,5277,14
57,7238,1763,10
58,11234,1517,8
59,10558,2022,11
60,7249,1862,11
61,717,911,9
62,5128,3550,12
63,7243,1855,11
64,3045,4005,9
65,247,4882,16
66,7234,2186,12
67,5124,3556,9
68,10624,2022,13
69,719,893,7
70,12908,1888,4
71,7310,2341,10
72,-5241,-1616,1
73,1097,5750,11
74,12134,3091,6
75,288,5599,10
76,12032,1307,8
77,12031,2541,9
78,5125,3548,8
79,717,899,6
80,3881,5258,6
81,13982,3485,5
82,12353,5251,2
83,994,5902,11
84,3336,2511,7
85,1292,4225,17
86,7704,1958,12
87,1100,5120,14
88,2893,3949,9
89,3226,2560,12
90,4378,3532,9
91,10298,1471,13
92,10255,-867,9
93,12131,1460,11
94,661,1876,6
95,12249,1658,13
96,6,5128,19
97,9061,2395,11
98,214,4850,14
99,12147,3074,15
100,-12121,3715,4
101,1225,4176,17
102,13933,3531,9
103,736,973,8
104,12110,1426,14
105,-469,4597,14
# links
0,1
0,2
1,3
0,4
2,5
4,6
3,7
6,8
1,9
